# nlayers	|E|^2	slope = -0.01648773472560383
0.000000000000000000e+00	7.702051395065996342e-01
1.000000000000000000e+00	7.080885517164937637e-01
2.000000000000000000e+00	6.509551018816446266e-01
3.000000000000000000e+00	5.984097849092449017e-01
4.000000000000000000e+00	5.500899210183519683e-01
5.000000000000000000e+00	5.056622403145887290e-01
6.000000000000000000e+00	4.648201920455196090e-01
7.000000000000000000e+00	4.272814756163675898e-01
8.000000000000000000e+00	3.927857904391567345e-01
9.000000000000000000e+00	3.610928009818828444e-01
1.000000000000000000e+01	3.319803120785194128e-01
1.100000000000000000e+01	3.052426477787831272e-01
1.200000000000000000e+01	2.806892248992368111e-01
1.300000000000000000e+01	2.581433101362421434e-01
1.400000000000000000e+01	2.374409472726702330e-01
1.500000000000000000e+01	2.184300388076926280e-01
1.600000000000000000e+01	2.009695644065314923e-01
1.700000000000000000e+01	1.849289170328578258e-01
1.800000000000000000e+01	1.701873365970541507e-01
1.900000000000000000e+01	1.566334205087616671e-01
2.000000000000000000e+01	1.441646907120175403e-01
2.100000000000000000e+01	1.326871976237049555e-01
2.200000000000000000e+01	1.221151428760883784e-01
2.300000000000000000e+01	1.123705048350547436e-01
2.400000000000000000e+01	1.033826534509720702e-01
2.500000000000000000e+01	9.508794399662202912e-02
2.600000000000000000e+01	8.742928253339075917e-02
2.700000000000000000e+01	8.035565938475768000e-02
2.800000000000000000e+01	7.382165033864770964e-02
2.900000000000000000e+01	6.778688859953974077e-02
3.000000000000000000e+01	6.221551352510572980e-02
3.100000000000000000e+01	5.707560478071325299e-02
3.200000000000000000e+01	5.233861261705827217e-02
3.300000000000000000e+01	4.797879643404867611e-02
3.400000000000000000e+01	4.397268457841002620e-02
3.500000000000000000e+01	4.029856840479580787e-02
3.600000000000000000e+01	3.693604301419405739e-02
3.700000000000000000e+01	3.386560580502977896e-02
3.800000000000000000e+01	3.106832209798863695e-02
3.900000000000000000e+01	2.852556471910349528e-02
4.000000000000000000e+01	2.621883166401157289e-02
4.100000000000000000e+01	2.412964295410148161e-02
4.200000000000000000e+01	2.223951467847773769e-02
4.300000000000000000e+01	2.053000514476786137e-02
4.400000000000000000e+01	1.898282518477920414e-02
4.500000000000000000e+01	1.758000211646625413e-02
4.600000000000000000e+01	1.630408477429013542e-02
4.700000000000000000e+01	1.513837548691205487e-02
4.800000000000000000e+01	1.406717397898596400e-02
4.900000000000000000e+01	1.307601794749590693e-02
5.000000000000000000e+01	1.215190552558827880e-02
5.100000000000000000e+01	1.128348597863518092e-02
5.200000000000000000e+01	1.046120672720499828e-02
5.300000000000000000e+01	9.677407079415329197e-03
5.400000000000000000e+01	8.926351775118843146e-03
5.500000000000000000e+01	8.204200470425549244e-03
5.600000000000000000e+01	7.508912482608739829e-03
5.700000000000000000e+01	6.840089324009254908e-03
5.800000000000000000e+01	6.198760629773274536e-03
5.900000000000000000e+01	5.587121884875862268e-03
6.000000000000000000e+01	5.008234750484502965e-03
6.100000000000000000e+01	4.465702666864326993e-03
6.200000000000000000e+01	3.963335682488807778e-03
6.300000000000000000e+01	3.504819067872338555e-03
6.400000000000000000e+01	3.093400190040673792e-03
6.500000000000000000e+01	2.731607354046835297e-03
6.600000000000000000e+01	2.421012898252041488e-03
6.700000000000000000e+01	2.162050827413787655e-03
6.800000000000000000e+01	1.953896776460403457e-03
6.900000000000000000e+01	1.794415235569653353e-03
7.000000000000000000e+01	1.680175868571444917e-03
7.100000000000000000e+01	1.606537567580696097e-03
7.200000000000000000e+01	1.567795757170926301e-03
7.300000000000000000e+01	1.557385538534547791e-03
7.400000000000000000e+01	1.568130685426340296e-03
7.500000000000000000e+01	1.592526390558109215e-03
7.600000000000000000e+01	1.623042112942468416e-03
7.700000000000000000e+01	1.652429966376218595e-03
7.800000000000000000e+01	1.674023859760585386e-03
7.900000000000000000e+01	1.682015062261476169e-03
