# nlayers	|E|^2	slope
0.000000000000000000e+00	4.758282624944926154e-01	-1.834650451214129424e-02
1.000000000000000000e+00	4.428972166066713623e-01	-1.834650451214129424e-02
2.000000000000000000e+00	4.142597702103730795e-01	-1.834650451214129424e-02
3.000000000000000000e+00	3.896067107223443737e-01	-1.834650451214129424e-02
4.000000000000000000e+00	3.686289744467218243e-01	-1.834650451214129424e-02
5.000000000000000000e+00	3.510181027833906842e-01	-1.834650451214129424e-02
6.000000000000000000e+00	3.364669243429032064e-01	-1.834650451214129424e-02
7.000000000000000000e+00	3.246704392709148235e-01	-1.834650451214129424e-02
8.000000000000000000e+00	3.153268808585159011e-01	-1.834650451214129424e-02
9.000000000000000000e+00	3.081389285046599036e-01	-1.834650451214129424e-02
1.000000000000000000e+01	3.028150453207328896e-01	-1.834650451214129424e-02
1.100000000000000000e+01	2.990709131396430687e-01	-1.834650451214129424e-02
1.200000000000000000e+01	2.966309374238527141e-01	-1.834650451214129424e-02
1.300000000000000000e+01	2.952297945663376888e-01	-1.834650451214129424e-02
1.400000000000000000e+01	2.946139943499254676e-01	-1.834650451214129424e-02
1.500000000000000000e+01	2.945434308747176266e-01	-1.834650451214129424e-02
1.600000000000000000e+01	2.947928960777912444e-01	-1.834650451214129424e-02
1.700000000000000000e+01	2.951535310480893903e-01	-1.834650451214129424e-02
1.800000000000000000e+01	2.954341916730613971e-01	-1.834650451214129424e-02
1.900000000000000000e+01	2.954627067296826115e-01	-1.834650451214129424e-02
