# nlayers	|E|^2	slope
0.000000000000000000e+00	7.009373881276421692e-01	-2.722348486926429167e-02
1.000000000000000000e+00	6.489379851729328852e-01	-2.722348486926429167e-02
2.000000000000000000e+00	6.012472819511522903e-01	-2.722348486926429167e-02
3.000000000000000000e+00	5.574790083496360404e-01	-2.722348486926429167e-02
4.000000000000000000e+00	5.172697121161178302e-01	-2.722348486926429167e-02
5.000000000000000000e+00	4.802786514479071012e-01	-2.722348486926429167e-02
6.000000000000000000e+00	4.461878327704844605e-01	-2.722348486926429167e-02
7.000000000000000000e+00	4.147021356956263616e-01	-2.722348486926429167e-02
8.000000000000000000e+00	3.855494692333230611e-01	-2.722348486926429167e-02
9.000000000000000000e+00	3.584809065520599414e-01	-2.722348486926429167e-02
1.000000000000000000e+01	3.332707498795106638e-01	-2.722348486926429167e-02
1.100000000000000000e+01	3.097164824210907885e-01	-2.722348486926429167e-02
1.200000000000000000e+01	2.876385703299542684e-01	-2.722348486926429167e-02
1.300000000000000000e+01	2.668800846472001997e-01	-2.722348486926429167e-02
1.400000000000000000e+01	2.473061205827663256e-01	-2.722348486926429167e-02
1.500000000000000000e+01	2.288029993469087586e-01	-2.722348486926429167e-02
1.600000000000000000e+01	2.112772457789117153e-01	-2.722348486926429167e-02
1.700000000000000000e+01	1.946543430569667721e-01	-2.722348486926429167e-02
1.800000000000000000e+01	1.788772736130526397e-01	-2.722348486926429167e-02
1.900000000000000000e+01	1.639048628253615414e-01	-2.722348486926429167e-02
2.000000000000000000e+01	1.497099489339006606e-01	-2.722348486926429167e-02
2.100000000000000000e+01	1.362774087521561872e-01	-2.722348486926429167e-02
2.200000000000000000e+01	1.236020739777735772e-01	-2.722348486926429167e-02
2.300000000000000000e+01	1.116865771095491011e-01	-2.722348486926429167e-02
2.400000000000000000e+01	1.005391690544439193e-01	-2.722348486926429167e-02
2.500000000000000000e+01	9.017155238363555592e-02	-2.722348486926429167e-02
2.600000000000000000e+01	8.059677482867222409e-02	-2.722348486926429167e-02
2.700000000000000000e+01	7.182722698761562219e-02	-2.722348486926429167e-02
2.800000000000000000e+01	6.387278635915727421e-02	-2.722348486926429167e-02
2.900000000000000000e+01	5.673914679450778320e-02	-2.722348486926429167e-02
3.000000000000000000e+01	5.042636833736231783e-02	-2.722348486926429167e-02
3.100000000000000000e+01	4.492767732473195580e-02	-2.722348486926429167e-02
3.200000000000000000e+01	4.022854068458073251e-02	-2.722348486926429167e-02
3.300000000000000000e+01	3.630603175045339637e-02	-2.722348486926429167e-02
3.400000000000000000e+01	3.312849779661022204e-02	-2.722348486926429167e-02
3.500000000000000000e+01	3.065553207049486958e-02	-2.722348486926429167e-02
3.600000000000000000e+01	2.883824556143546256e-02	-2.722348486926429167e-02
3.700000000000000000e+01	2.761982629678942994e-02	-2.722348486926429167e-02
3.800000000000000000e+01	2.693636679816128338e-02	-2.722348486926429167e-02
3.900000000000000000e+01	2.671793365190650721e-02	-2.722348486926429167e-02
