# nlayers	|E|^2	slope
0.000000000000000000e+00	8.508689941158108505e-01	-5.616750545765559349e-02
1.000000000000000000e+00	7.883902960101178969e-01	-5.616750545765559349e-02
2.000000000000000000e+00	7.275103324006710892e-01	-5.616750545765559349e-02
3.000000000000000000e+00	6.679963485407955925e-01	-5.616750545765559349e-02
4.000000000000000000e+00	6.098017355674375528e-01	-5.616750545765559349e-02
5.000000000000000000e+00	5.530482052337419852e-01	-5.616750545765559349e-02
6.000000000000000000e+00	4.980016883543619821e-01	-5.616750545765559349e-02
7.000000000000000000e+00	4.450429583947173584e-01	-5.616750545765559349e-02
8.000000000000000000e+00	3.946342396978347877e-01	-5.616750545765559349e-02
9.000000000000000000e+00	3.472832579597635028e-01	-5.616750545765559349e-02
1.000000000000000000e+01	3.035063195078677167e-01	-5.616750545765559349e-02
1.100000000000000000e+01	2.637920597172601078e-01	-5.616750545765559349e-02
1.200000000000000000e+01	2.285674770532823419e-01	-5.616750545765559349e-02
1.300000000000000000e+01	1.981677689245766039e-01	-5.616750545765559349e-02
1.400000000000000000e+01	1.728113135280300028e-01	-5.616750545765559349e-02
1.500000000000000000e+01	1.525809062806730010e-01	-5.616750545765559349e-02
1.600000000000000000e+01	1.374120713617177358e-01	-5.616750545765559349e-02
1.700000000000000000e+01	1.270889418873940857e-01	-5.616750545765559349e-02
1.800000000000000000e+01	1.212478516929993283e-01	-5.616750545765559349e-02
1.900000000000000000e+01	1.193884240838688354e-01	-5.616750545765559349e-02
