# nlayers	|E|^2	slope
0.000000000000000000e+00	8.241012699628498250e-01	-2.399300069813503633e-02
1.000000000000000000e+00	7.537537314915209175e-01	-2.399300069813503633e-02
2.000000000000000000e+00	6.895118152330989014e-01	-2.399300069813503633e-02
3.000000000000000000e+00	6.308961219828529421e-01	-2.399300069813503633e-02
4.000000000000000000e+00	5.774467325505712179e-01	-2.399300069813503633e-02
5.000000000000000000e+00	5.287195166852213246e-01	-2.399300069813503633e-02
6.000000000000000000e+00	4.842855091663251788e-01	-2.399300069813503633e-02
7.000000000000000000e+00	4.437330081313926589e-01	-2.399300069813503633e-02
8.000000000000000000e+00	4.066717632454026066e-01	-2.399300069813503633e-02
9.000000000000000000e+00	3.727384058752540863e-01	-2.399300069813503633e-02
1.000000000000000000e+01	3.416021558270198599e-01	-2.399300069813503633e-02
1.100000000000000000e+01	3.129698336242585088e-01	-2.399300069813503633e-02
1.200000000000000000e+01	2.865893146276214942e-01	-2.399300069813503633e-02
1.300000000000000000e+01	2.622507689816722110e-01	-2.399300069813503633e-02
1.400000000000000000e+01	2.397853149617249491e-01	-2.399300069813503633e-02
1.500000000000000000e+01	2.190610392982468568e-01	-2.399300069813503633e-02
1.600000000000000000e+01	1.999766679488871324e-01	-2.399300069813503633e-02
1.700000000000000000e+01	1.824534655643650083e-01	-2.399300069813503633e-02
1.800000000000000000e+01	1.664261667050531412e-01	-2.399300069813503633e-02
1.900000000000000000e+01	1.518338701515976330e-01	-2.399300069813503633e-02
2.000000000000000000e+01	1.386118442995482036e-01	-2.399300069813503633e-02
2.100000000000000000e+01	1.266850947560130836e-01	-2.399300069813503633e-02
2.200000000000000000e+01	1.159643464478124220e-01	-2.399300069813503633e-02
2.300000000000000000e+01	1.063448154747003160e-01	-2.399300069813503633e-02
2.400000000000000000e+01	9.770782354671674053e-02	-2.399300069813503633e-02
2.500000000000000000e+01	8.992497845110156152e-02	-2.399300069813503633e-02
2.600000000000000000e+01	8.286434674566665881e-02	-2.399300069813503633e-02
2.700000000000000000e+01	7.639781509704210438e-02	-2.399300069813503633e-02
2.800000000000000000e+01	7.040870168867699452e-02	-2.399300069813503633e-02
2.900000000000000000e+01	6.479865497921256934e-02	-2.399300069813503633e-02
3.000000000000000000e+01	5.949296670498359363e-02	-2.399300069813503633e-02
3.100000000000000000e+01	5.444361879814217653e-02	-2.399300069813503633e-02
3.200000000000000000e+01	4.962965699767903777e-02	-2.399300069813503633e-02
3.300000000000000000e+01	4.505480499392491150e-02	-2.399300069813503633e-02
3.400000000000000000e+01	4.074256390449085968e-02	-2.399300069813503633e-02
3.500000000000000000e+01	3.672934349108369911e-02	-2.399300069813503633e-02
3.600000000000000000e+01	3.305640803175348419e-02	-2.399300069813503633e-02
3.700000000000000000e+01	2.976156312408996182e-02	-2.399300069813503633e-02
3.800000000000000000e+01	2.687154292339095571e-02	-2.399300069813503633e-02
3.900000000000000000e+01	2.439597649290540377e-02	-2.399300069813503633e-02
4.000000000000000000e+01	2.232362666886993433e-02	-2.399300069813503633e-02
4.100000000000000000e+01	2.062132712027360884e-02	-2.399300069813503633e-02
4.200000000000000000e+01	1.923572489221323303e-02	-2.399300069813503633e-02
4.300000000000000000e+01	1.809760445294362335e-02	-2.399300069813503633e-02
4.400000000000000000e+01	1.712826443564720996e-02	-2.399300069813503633e-02
4.500000000000000000e+01	1.624717605580000904e-02	-2.399300069813503633e-02
4.600000000000000000e+01	1.538000134238477930e-02	-2.399300069813503633e-02
4.700000000000000000e+01	1.446600775310825059e-02	-2.399300069813503633e-02
4.800000000000000000e+01	1.346398839106875862e-02	-2.399300069813503633e-02
4.900000000000000000e+01	1.235597529152913064e-02	-2.399300069813503633e-02
5.000000000000000000e+01	1.114829596060389408e-02	-2.399300069813503633e-02
5.100000000000000000e+01	9.869839358822952297e-03	-2.399300069813503633e-02
5.200000000000000000e+01	8.567729343402930714e-03	-2.399300069813503633e-02
5.300000000000000000e+01	7.300911849023859236e-03	-2.399300069813503633e-02
5.400000000000000000e+01	6.132410227651165745e-03	-2.399300069813503633e-02
5.500000000000000000e+01	5.121161746516124033e-03	-2.399300069813503633e-02
5.600000000000000000e+01	4.314398448914041027e-03	-2.399300069813503633e-02
5.700000000000000000e+01	3.741471462157274375e-03	-2.399300069813503633e-02
5.800000000000000000e+01	3.409847002334995183e-03	-2.399300069813503633e-02
5.900000000000000000e+01	3.303745049266816180e-03	-2.399300069813503633e-02
