# nlayers	|E|^2	slope
0.000000000000000000e+00	6.394512569244406031e-01	-1.378097143269241265e-02
1.000000000000000000e+00	5.960135447446115453e-01	-1.378097143269241265e-02
2.000000000000000000e+00	5.555414916172677353e-01	-1.378097143269241265e-02
3.000000000000000000e+00	5.178340820603918315e-01	-1.378097143269241265e-02
4.000000000000000000e+00	4.827037705746218266e-01	-1.378097143269241265e-02
5.000000000000000000e+00	4.499755668927293839e-01	-1.378097143269241265e-02
6.000000000000000000e+00	4.194861849359331485e-01	-1.378097143269241265e-02
7.000000000000000000e+00	3.910832511445114235e-01	-1.378097143269241265e-02
8.000000000000000000e+00	3.646245681288525775e-01	-1.378097143269241265e-02
9.000000000000000000e+00	3.399774298470792377e-01	-1.378097143269241265e-02
1.000000000000000000e+01	3.170179847581126586e-01	-1.378097143269241265e-02
1.100000000000000000e+01	2.956306436258161474e-01	-1.378097143269241265e-02
1.200000000000000000e+01	2.757075288618887066e-01	-1.378097143269241265e-02
1.300000000000000000e+01	2.571479624936134911e-01	-1.378097143269241265e-02
1.400000000000000000e+01	2.398579900284087407e-01	-1.378097143269241265e-02
1.500000000000000000e+01	2.237499376614022206e-01	-1.378097143269241265e-02
1.600000000000000000e+01	2.087420004357861958e-01	-1.378097143269241265e-02
1.700000000000000000e+01	1.947578591193752928e-01	-1.378097143269241265e-02
1.800000000000000000e+01	1.817263237053035330e-01	-1.378097143269241265e-02
1.900000000000000000e+01	1.695810015808653093e-01	-1.378097143269241265e-02
2.000000000000000000e+01	1.582599885367579340e-01	-1.378097143269241265e-02
2.100000000000000000e+01	1.477055809099778183e-01	-1.378097143269241265e-02
2.200000000000000000e+01	1.378640072679046813e-01	-1.378097143269241265e-02
2.300000000000000000e+01	1.286851781491205327e-01	-1.378097143269241265e-02
2.400000000000000000e+01	1.201224524787055381e-01	-1.378097143269241265e-02
2.500000000000000000e+01	1.121324193724905771e-01	-1.378097143269241265e-02
2.600000000000000000e+01	1.046746941363806971e-01	-1.378097143269241265e-02
2.700000000000000000e+01	9.771172735370056706e-02	-1.378097143269241265e-02
2.800000000000000000e+01	9.120862603581128547e-02	-1.378097143269241265e-02
2.900000000000000000e+01	8.513298588926448973e-02	-1.378097143269241265e-02
3.000000000000000000e+01	7.945473382668932771e-02	-1.378097143269241265e-02
3.100000000000000000e+01	7.414597991864635418e-02	-1.378097143269241265e-02
3.200000000000000000e+01	6.918087804998881984e-02	-1.378097143269241265e-02
3.300000000000000000e+01	6.453549460698518314e-02	-1.378097143269241265e-02
3.400000000000000000e+01	6.018768458070351823e-02	-1.378097143269241265e-02
3.500000000000000000e+01	5.611697452804559338e-02	-1.378097143269241265e-02
3.600000000000000000e+01	5.230445188443694909e-02	-1.378097143269241265e-02
3.700000000000000000e+01	4.873266017161615588e-02	-1.378097143269241265e-02
3.800000000000000000e+01	4.538549969029079256e-02	-1.378097143269241265e-02
3.900000000000000000e+01	4.224813333070892574e-02	-1.378097143269241265e-02
4.000000000000000000e+01	3.930689717449052656e-02	-1.378097143269241265e-02
4.100000000000000000e+01	3.654921559843311157e-02	-1.378097143269241265e-02
4.200000000000000000e+01	3.396352062550284795e-02	-1.378097143269241265e-02
4.300000000000000000e+01	3.153917529990164087e-02	-1.378097143269241265e-02
4.400000000000000000e+01	2.926640089201770767e-02	-1.378097143269241265e-02
4.500000000000000000e+01	2.713620776527862419e-02	-1.378097143269241265e-02
4.600000000000000000e+01	2.514032976049283483e-02	-1.378097143269241265e-02
4.700000000000000000e+01	2.327116197425193114e-02	-1.378097143269241265e-02
4.800000000000000000e+01	2.152170182644254012e-02	-1.378097143269241265e-02
4.900000000000000000e+01	1.988549332795684632e-02	-1.378097143269241265e-02
5.000000000000000000e+01	1.835657447337718171e-02	-1.378097143269241265e-02
5.100000000000000000e+01	1.692942769482962823e-02	-1.378097143269241265e-02
5.200000000000000000e+01	1.559893332244939070e-02	-1.378097143269241265e-02
5.300000000000000000e+01	1.436032600407742207e-02	-1.378097143269241265e-02
5.400000000000000000e+01	1.320915404202205844e-02	-1.378097143269241265e-02
5.500000000000000000e+01	1.214124160808601957e-02	-1.378097143269241265e-02
5.600000000000000000e+01	1.115265379969886811e-02	-1.378097143269241265e-02
5.700000000000000000e+01	1.023966450003585722e-02	-1.378097143269241265e-02
