# d	wl	calculated  coeff	theoretical value	ratio
2.500000000000000000e+01	1.200000000000000000e+03	9.911515605841395016e-02	9.031940151089472291e-02	1.097384995918714523e+00
2.500000000000000000e+01	1.400000000000000000e+03	9.900078235956465134e-02	9.021517765210827766e-02	1.097384995918711192e+00
2.500000000000000000e+01	1.600000000000000000e+03	9.887027767147962831e-02	9.009625431292425657e-02	1.097384995918712081e+00
2.500000000000000000e+01	1.800000000000000000e+03	9.852607433765410427e-02	8.978259654003188650e-02	1.097384995918710304e+00
2.500000000000000000e+01	2.000000000000000000e+03	9.748424809441866290e-02	8.883322485451576600e-02	1.097384995918710304e+00
2.500000000000000000e+01	2.200000000000000000e+03	9.485390760828882328e-02	8.643630809703088669e-02	1.097384995918712525e+00
2.500000000000000000e+01	2.400000000000000000e+03	8.949673998744567260e-02	8.155455042696327372e-02	1.097384995918714301e+00
3.000000000000000000e+01	6.000000000000000000e+02	1.003219820142802199e-01	9.141913037574590783e-02	1.097384995918712969e+00
3.000000000000000000e+01	8.000000000000000000e+02	9.961827397750087909e-02	9.077787134687567705e-02	1.097384995918715855e+00
3.000000000000000000e+01	1.000000000000000000e+03	9.929254909904189352e-02	9.048105219983960945e-02	1.097384995918713413e+00
3.000000000000000000e+01	1.200000000000000000e+03	9.911515605841393628e-02	9.031940151089472291e-02	1.097384995918714523e+00
3.000000000000000000e+01	1.400000000000000000e+03	9.900078235956477624e-02	9.021517765210827766e-02	1.097384995918712525e+00
3.000000000000000000e+01	1.600000000000000000e+03	9.887027767147965607e-02	9.009625431292425657e-02	1.097384995918712303e+00
3.000000000000000000e+01	1.800000000000000000e+03	9.852607433765393774e-02	8.978259654003188650e-02	1.097384995918708528e+00
3.000000000000000000e+01	2.000000000000000000e+03	9.748424809441863514e-02	8.883322485451576600e-02	1.097384995918710082e+00
3.000000000000000000e+01	2.200000000000000000e+03	9.485390760828864287e-02	8.643630809703088669e-02	1.097384995918710526e+00
3.000000000000000000e+01	2.400000000000000000e+03	8.949673998744550607e-02	8.155455042696327372e-02	1.097384995918712303e+00
3.500000000000000000e+01	6.000000000000000000e+02	1.003219820142802476e-01	9.141913037574590783e-02	1.097384995918713413e+00
3.500000000000000000e+01	8.000000000000000000e+02	9.961827397750049051e-02	9.077787134687567705e-02	1.097384995918711637e+00
3.500000000000000000e+01	1.000000000000000000e+03	9.929254909904172699e-02	9.048105219983960945e-02	1.097384995918711637e+00
3.500000000000000000e+01	1.200000000000000000e+03	9.911515605841396404e-02	9.031940151089472291e-02	1.097384995918714745e+00
3.500000000000000000e+01	1.400000000000000000e+03	9.900078235956479011e-02	9.021517765210827766e-02	1.097384995918712747e+00
3.500000000000000000e+01	1.600000000000000000e+03	9.887027767147957280e-02	9.009625431292425657e-02	1.097384995918711414e+00
3.500000000000000000e+01	1.800000000000000000e+03	9.852607433765435407e-02	8.978259654003188650e-02	1.097384995918712969e+00
3.500000000000000000e+01	2.000000000000000000e+03	9.748424809441888494e-02	8.883322485451576600e-02	1.097384995918712747e+00
3.500000000000000000e+01	2.200000000000000000e+03	9.485390760828872614e-02	8.643630809703088669e-02	1.097384995918711414e+00
3.500000000000000000e+01	2.400000000000000000e+03	8.949673998744558934e-02	8.155455042696327372e-02	1.097384995918713191e+00
4.000000000000000000e+01	6.000000000000000000e+02	1.003219820142803032e-01	9.141913037574590783e-02	1.097384995918713857e+00
4.000000000000000000e+01	8.000000000000000000e+02	9.961827397750050439e-02	9.077787134687567705e-02	1.097384995918711637e+00
4.000000000000000000e+01	1.000000000000000000e+03	9.929254909904192128e-02	9.048105219983960945e-02	1.097384995918713857e+00
4.000000000000000000e+01	1.200000000000000000e+03	9.911515605841397791e-02	9.031940151089472291e-02	1.097384995918714967e+00
4.000000000000000000e+01	1.400000000000000000e+03	9.900078235956481787e-02	9.021517765210827766e-02	1.097384995918713191e+00
4.000000000000000000e+01	1.600000000000000000e+03	9.887027767147991975e-02	9.009625431292425657e-02	1.097384995918715189e+00
4.000000000000000000e+01	1.800000000000000000e+03	9.852607433765413203e-02	8.978259654003188650e-02	1.097384995918710526e+00
4.000000000000000000e+01	2.000000000000000000e+03	9.748424809441862127e-02	8.883322485451576600e-02	1.097384995918709860e+00
4.000000000000000000e+01	2.200000000000000000e+03	9.485390760828874002e-02	8.643630809703088669e-02	1.097384995918711637e+00
4.000000000000000000e+01	2.400000000000000000e+03	8.949673998744567260e-02	8.155455042696327372e-02	1.097384995918714301e+00
4.500000000000000000e+01	6.000000000000000000e+02	1.003219820142799978e-01	9.141913037574590783e-02	1.097384995918710526e+00
4.500000000000000000e+01	8.000000000000000000e+02	9.961827397750060153e-02	9.077787134687567705e-02	1.097384995918712747e+00
4.500000000000000000e+01	1.000000000000000000e+03	9.929254909904186577e-02	9.048105219983960945e-02	1.097384995918713191e+00
4.500000000000000000e+01	1.200000000000000000e+03	9.911515605841368648e-02	9.031940151089472291e-02	1.097384995918711637e+00
4.500000000000000000e+01	1.400000000000000000e+03	9.900078235956474848e-02	9.021517765210827766e-02	1.097384995918712303e+00
4.500000000000000000e+01	1.600000000000000000e+03	9.887027767147962831e-02	9.009625431292425657e-02	1.097384995918712081e+00
4.500000000000000000e+01	1.800000000000000000e+03	9.852607433765417366e-02	8.978259654003188650e-02	1.097384995918710970e+00
4.500000000000000000e+01	2.000000000000000000e+03	9.748424809441867678e-02	8.883322485451576600e-02	1.097384995918710526e+00
4.500000000000000000e+01	2.200000000000000000e+03	9.485390760828869838e-02	8.643630809703088669e-02	1.097384995918711192e+00
4.500000000000000000e+01	2.400000000000000000e+03	8.949673998744554770e-02	8.155455042696327372e-02	1.097384995918712747e+00
5.000000000000000000e+01	6.000000000000000000e+02	1.003219820142802615e-01	9.141913037574590783e-02	1.097384995918713413e+00
5.000000000000000000e+01	8.000000000000000000e+02	9.961827397750067092e-02	9.077787134687567705e-02	1.097384995918713635e+00
5.000000000000000000e+01	1.000000000000000000e+03	9.929254909904165760e-02	9.048105219983960945e-02	1.097384995918710970e+00
5.000000000000000000e+01	1.200000000000000000e+03	9.911515605841376975e-02	9.031940151089472291e-02	1.097384995918712525e+00
5.000000000000000000e+01	1.400000000000000000e+03	9.900078235956479011e-02	9.021517765210827766e-02	1.097384995918712747e+00
5.000000000000000000e+01	1.600000000000000000e+03	9.887027767147973933e-02	9.009625431292425657e-02	1.097384995918713191e+00
5.000000000000000000e+01	1.800000000000000000e+03	9.852607433765403488e-02	8.978259654003188650e-02	1.097384995918709416e+00
5.000000000000000000e+01	2.000000000000000000e+03	9.748424809441887107e-02	8.883322485451576600e-02	1.097384995918712747e+00
5.000000000000000000e+01	2.200000000000000000e+03	9.485390760828887879e-02	8.643630809703088669e-02	1.097384995918713191e+00
5.000000000000000000e+01	2.400000000000000000e+03	8.949673998744560321e-02	8.155455042696327372e-02	1.097384995918713413e+00
