# nlayers	|E|^2	slope = -0.03319419536367141
0.000000000000000000e+00	8.121913952041489582e-01
1.000000000000000000e+00	7.449662941609522804e-01
2.000000000000000000e+00	6.826648932478006637e-01
3.000000000000000000e+00	6.249375231380065454e-01
4.000000000000000000e+00	5.715051106869583064e-01
5.000000000000000000e+00	5.221461510362378489e-01
6.000000000000000000e+00	4.766822373100698118e-01
7.000000000000000000e+00	4.349629759308749066e-01
8.000000000000000000e+00	3.968511792174073127e-01
9.000000000000000000e+00	3.622092239556486959e-01
1.000000000000000000e+01	3.308873953945365431e-01
1.100000000000000000e+01	3.027149057851212244e-01
1.200000000000000000e+01	2.774940947701381444e-01
1.300000000000000000e+01	2.549980990054585561e-01
1.400000000000000000e+01	2.349720364923437721e-01
1.500000000000000000e+01	2.171375049527040080e-01
1.600000000000000000e+01	2.011999612242682256e-01
1.700000000000000000e+01	1.868583471117797046e-01
1.800000000000000000e+01	1.738161711730424330e-01
1.900000000000000000e+01	1.617931569827448235e-01
2.000000000000000000e+01	1.505365337751432553e-01
2.100000000000000000e+01	1.398310775961303931e-01
2.200000000000000000e+01	1.295071078900842665e-01
2.300000000000000000e+01	1.194457987867990623e-01
2.400000000000000000e+01	1.095813650163645486e-01
2.500000000000000000e+01	9.989991475978425572e-02
2.600000000000000000e+01	9.043500891807494668e-02
2.700000000000000000e+01	8.126021024811445892e-02
2.800000000000000000e+01	7.247912879686296828e-02
2.900000000000000000e+01	6.421365582267696270e-02
3.000000000000000000e+01	5.659121339317283589e-02
3.100000000000000000e+01	4.973192126474239999e-02
3.200000000000000000e+01	4.373659106924733531e-02
3.300000000000000000e+01	3.867639966200422247e-02
3.400000000000000000e+01	3.458497298243233542e-02
3.500000000000000000e+01	3.145343775162685179e-02
3.600000000000000000e+01	2.922878349055670066e-02
3.700000000000000000e+01	2.781563737615801862e-02
3.800000000000000000e+01	2.708130688007489781e-02
3.900000000000000000e+01	2.686370802996865953e-02
